qtr,Treasury Bills,Treasury Bonds,FGN Bonds,FGN Savings Bond,FGN Sukuk,Green Bond,Development Stock,Promissory Note,Total Domestic Debt
 2010 Q1,837320.00,392070.00,2173420.00,,,,520.00,63030.00,3466360.00
 2010 Q2,901016.62,392070.50,2408426.59,,,,220.00,63030.00,3764763.71
 2010 Q3,1064270.83,372900.50,2792234.01,,,,220.00,,4229625.34
 2010 Q4,1277101.56,372900.50,2901600.33,,,,220.00,,4551822.39
 2011 Q1,1439591.32,372900.50,3056532.09,,,,,,4869023.90
 2011 Q2,1561424.84,372900.50,3276111.92,,,,,,5210437.26
 2011 Q3,1607835.02,353730.50,3356430.43,,,,,,5317995.95
 2011 Q4,1727914.36,353730.50,3541198.85,,,,,,5622843.71
 2012 Q1,1947185.10,353730.50,3665853.86,,,,,,5966769.46
 2012 Q2,2084590.38,353730.50,3714553.86,,,,,,6152874.74
 2012 Q3,2132926.96,334560.50,3878553.86,,,,,,6346041.32
 2012 Q4,2122926.96,334560.50,4080048.85,,,,,,6537536.31
 2013 Q1,2338205.00,334560.50,3820553.38,,,,,,6493318.88
 2013 Q2,2483285.11,334560.50,4032903.13,,,,,,6850748.74
 2013 Q3,2483285.11,334560.50,4215037.71,,,,,,7032883.31
 2013 Q4,2581550.64,315390.50,4222037.71,,,,,,7118978.85
 2014 Q1,2735748.54,315390.50,4132037.71,,,,,,7183176.75
 2014 Q2,2735869.09,315390.50,4369837.71,,,,,,7421097.30
 2014 Q3,2735869.00,315390.50,4599839.00,,,,,,7651098.50
 2014 Q4,2815523.75,296220.50,4792281.22,,,,,,7904025.47
 2015 Q1,2865520.00,271220.00,5370800.00,,,,,,8507540.00
 2015 Q2,2824950.00,271220.00,5300420.00,,,,,,8396590.00
 2015 Q3,2772867.04,271220.50,5568140.82,,,,,,8612228.36
 2015 Q4,2772867.04,255988.00,5808140.82,,,,,,8836995.86
 2016 Q1,2824807.05,230988.00,6914258.17,,,,,,9970053.22
 2016 Q2,2901807.05,230988.00,7473539.17,,,,,,10606334.22
2016 Q3,3261490.00,230990.00,7352740.00,,,,,,10845220.00
2016 Q4,3277280.00,215990.00,7564940.00,,,,,,11058210.00
2017 Q1,3600534.24,190988.00,8177746.32,2067.96,,,,,11971336.53
2017 Q2,3702831.68,190988.00,8134876.26,4754.08,,,,,12033450.02
2017 Q3,3777831.68,190988.00,8420658.87,6305.49,100000.00,,,,12495784.04
2017 Q4,3579799.14,175988.00,8715811.65,7197.33,100000.00,10690.00,,,12589486.13
2018 Q1,3312812.31,175988.00,8969487.39,7780.48,100000.00,10690.00,,,12576758.18
2018 Q2,2953580.70,150988.00,8927657.64,8521.32,100000.00,10690.00,,,12151437.66
2018 Q3,2814014.04,150988.00,9201389.13,9731.17,100000.00,10690.00,,,12286812.35
2018 Q4,2735967.54,150988.00,9334737.98,10750.44,200000.00,10690.00,,331271.74,12774405.70
2019 Q1,2651514.04,150988.00,9723669.94,9705.52,200000.00,10690.00,,366853.29,13113420.78
2019 Q2,2651514.04,125988.00,9691417.04,10431.84,200000.00,25690.00,,707755.17,13412796.09
2019 Q3,2651514.04,125988.00,10074909.39,10793.40,200000.00,25690.00,,812651.19,13901546.03
2019 Q4,2651514.04,125988.00,10524157.32,12672.05,200000.00,25690.00,,732623.38,14272644.79
2020 Q1,2651514.04,125988.00,10559549.14,14809.35,200000.00,25690.00,,957196.31,14534746.84
2020Q2,2760436.49,100988.00,11241302.02,12984.65,362557.00,25690.00,,951740.96,15455699.13
2020Q3,2720436.49,100988.00,11652120.66,12561.03,362557.00,25690.00,,971877.59,15846230.77
2020 Q4,2720436.49,100988.00,11830260.67,12292.21,362557.00,25690.00,,971661.01,16023885.38
2021 Q1,2604809.43,100988.00,12465269.69,14394.70,362557.00,25690.00,,940220.35,16513929.18
2021 Q2,2991874.39,100988.00,13245269.73,15540.88,362557.00,25690.00,,889883.10,17631803.10
2021 Q3,3493217.24,75988.00,13463337.12,16798.94,362557.00,25690.00,,795274.52,18232862.81
2021 Q4,3786137.29,75988.00,13963219.81,16424.06,612557.00,25690.00,,762540.96,19242557.11
2022 Q1 ,4408161.43,75988.00,14240972.53,18117.80,612557.00,25690.00,,762540.96,20144027.72
2022 Q2,4504801.59,75988.00,15194096.05,20868.31,612557.00,25690.00,,514941.04,20948942.00
2022 Q3,4542782.18,50988.00,15780017.11,24949.18,612557.00,25690.00,,514941.04,21551924.51
2022 Q4,4422716.80,50988.00,16421564.06,27505.04,742557.00,15000.00,,530033.69,22210364.60
2023 Q1 ,4722716.80,50988.00,18418108.73,27826.08,742557.00,15000.00,,753578.22,24730774.83
2023 Q2,4722716.80,50988.00,41972736.95,30704.14,742557.00,15000.00,,780037.25,48314740.14
2023 Q3,4722716.80,25988.00,43177327.42,33924.61,742557.00,15000.00,,1478589.04,50196102.87
2023Q4,6522000.46,,44260216.37,39177.67,1092557.00,15000.00,,1329060.37,53258011.88
2024 Q1 ,10436954.64,,48420435.16,43876.57,1092557.00,15000.00,,1569283.33,61578106.70
2024 Q2,11808180.00,,52315230.00,55200.00,1092560.00,1671710.00,,15000.00,66957880.00
